Year;Country.of.jury;Male.count;Mean.age.category
1985;Turkey;Unknown;Unknown
1985;United Kingdom;Unknown;Unknown
1986;Austria;Unknown;Unknown
1986;Belgium;Unknown;Unknown
1986;Cyprus;Unknown;Unknown
1986;Denmark;Unknown;Unknown
1986;Finland;Unknown;Unknown
1986;France;Unknown;Unknown
1986;Germany;Unknown;Unknown
1986;Iceland;Unknown;Unknown
1986;Ireland;Unknown;Unknown
1986;Israel;Unknown;Unknown
1986;Luxembourg;Unknown;Unknown
1986;Norway;Unknown;Unknown
1986;Portugal;Unknown;Unknown
1986;Spain;Unknown;Unknown
1986;Sweden;Unknown;Unknown
1986;Switzerland;Unknown;Unknown
1986;The Netherlands;Unknown;Unknown
1986;Turkey;Unknown;Unknown
1986;United Kingdom;Unknown;Unknown
1986;Yugoslavia;Unknown;Unknown
1987;Austria;Unknown;Unknown
1987;Belgium;Unknown;Unknown
1987;Cyprus;Unknown;Unknown
1987;Denmark;Unknown;Unknown
1987;Finland;Unknown;Unknown
1987;France;Unknown;Unknown
1987;Germany;Unknown;Unknown
1987;Greece;Unknown;Unknown
1987;Iceland;Unknown;Unknown
1987;Ireland;Unknown;Unknown
1987;Israel;Unknown;Unknown
1987;Italy;Unknown;Unknown
1987;Luxembourg;Unknown;Unknown
1987;Norway;Unknown;Unknown
1987;Portugal;Unknown;Unknown
1987;Spain;Unknown;Unknown
1987;Sweden;Unknown;Unknown
1987;Switzerland;Unknown;Unknown
1987;The Netherlands;Unknown;Unknown
1987;Turkey;Unknown;Unknown
1987;United Kingdom;Unknown;Unknown
1987;Yugoslavia;Unknown;Unknown
1988;Austria;Unknown;Unknown
1988;Belgium;Unknown;Unknown
1988;Denmark;Unknown;Unknown
1988;Finland;Unknown;Unknown
1988;France;Unknown;Unknown
1988;Germany;Unknown;Unknown
1988;Greece;Unknown;Unknown
1988;Iceland;Unknown;Unknown
1988;Ireland;Unknown;Unknown
1988;Israel;Unknown;Unknown
1988;Italy;Unknown;Unknown
1988;Luxembourg;Unknown;Unknown
1988;Norway;Unknown;Unknown
1988;Portugal;Unknown;Unknown
1988;Spain;Unknown;Unknown
1988;Sweden;Unknown;Unknown
1988;Switzerland;Unknown;Unknown
1988;The Netherlands;Unknown;Unknown
1988;Turkey;Unknown;Unknown
1988;United Kingdom;Unknown;Unknown
1988;Yugoslavia;Unknown;Unknown
1989;Austria;Unknown;Unknown
1989;Belgium;Unknown;Unknown
1989;Cyprus;Unknown;Unknown
1989;Denmark;Unknown;Unknown
1989;Finland;Unknown;Unknown
1989;France;Unknown;Unknown
1989;Germany;Unknown;Unknown
1989;Greece;Unknown;Unknown
1989;Iceland;Unknown;Unknown
1989;Ireland;Unknown;Unknown
1989;Israel;Unknown;Unknown
1989;Italy;Unknown;Unknown
1989;Luxembourg;Unknown;Unknown
1989;Norway;Unknown;Unknown
1989;Portugal;Unknown;Unknown
1989;Spain;Unknown;Unknown
1989;Sweden;Unknown;Unknown
1989;Switzerland;Unknown;Unknown
1989;The Netherlands;Unknown;Unknown
1989;Turkey;Unknown;Unknown
1989;United Kingdom;Unknown;Unknown
1989;Yugoslavia;Unknown;Unknown
1990;Austria;Unknown;Unknown
1990;Belgium;Unknown;Unknown
1990;Cyprus;Unknown;Unknown
1990;Denmark;Unknown;Unknown
1990;Finland;Unknown;Unknown
1990;France;Unknown;Unknown
1990;Germany;Unknown;Unknown
1990;Greece;Unknown;Unknown
1990;Iceland;Unknown;Unknown
1990;Ireland;Unknown;Unknown
1990;Israel;Unknown;Unknown
1990;Italy;Unknown;Unknown
1990;Luxembourg;Unknown;Unknown
1990;Norway;Unknown;Unknown
1990;Portugal;Unknown;Unknown
1990;Spain;Unknown;Unknown
1990;Sweden;Unknown;Unknown
1990;Switzerland;Unknown;Unknown
1990;The Netherlands;Unknown;Unknown
1990;Turkey;Unknown;Unknown
1990;United Kingdom;Unknown;Unknown
1990;Yugoslavia;Unknown;Unknown
1991;Austria;Unknown;Unknown
1991;Belgium;Unknown;Unknown
1991;Cyprus;Unknown;Unknown
1991;Denmark;Unknown;Unknown
1991;Finland;Unknown;Unknown
1991;France;Unknown;Unknown
1991;Germany;Unknown;Unknown
1991;Greece;Unknown;Unknown
1991;Iceland;Unknown;Unknown
1991;Ireland;Unknown;Unknown
1991;Israel;Unknown;Unknown
1991;Italy;Unknown;Unknown
1991;Luxembourg;Unknown;Unknown
1991;Malta;Unknown;Unknown
1991;Norway;Unknown;Unknown
1991;Portugal;Unknown;Unknown
1991;Spain;Unknown;Unknown
1991;Sweden;Unknown;Unknown
1991;Switzerland;Unknown;Unknown
1991;Turkey;Unknown;Unknown
1991;United Kingdom;Unknown;Unknown
1991;Yugoslavia;Unknown;Unknown
1992;Austria;Unknown;Unknown
1992;Belgium;Unknown;Unknown
1992;Cyprus;Unknown;Unknown
1992;Denmark;Unknown;Unknown
1992;Finland;Unknown;Unknown
1992;France;Unknown;Unknown
1992;Germany;Unknown;Unknown
1992;Greece;Unknown;Unknown
1992;Iceland;Unknown;Unknown
1992;Ireland;Unknown;Unknown
1992;Israel;Unknown;Unknown
1992;Italy;Unknown;Unknown
1992;Luxembourg;Unknown;Unknown
1992;Malta;Unknown;Unknown
1992;Norway;Unknown;Unknown
1992;Portugal;Unknown;Unknown
1992;Spain;Unknown;Unknown
1992;Sweden;Unknown;Unknown
1992;Switzerland;Unknown;Unknown
1992;The Netherlands;Unknown;Unknown
1992;Turkey;Unknown;Unknown
1992;United Kingdom;Unknown;Unknown
1992;Yugoslavia;Unknown;Unknown
1993;Austria;Unknown;Unknown
1993;Belgium;Unknown;Unknown
1993;Bosnia and Herzegovina;Unknown;Unknown
1993;Croatia;Unknown;Unknown
1993;Cyprus;Unknown;Unknown
1993;Denmark;Unknown;Unknown
1993;Finland;Unknown;Unknown
1993;France;Unknown;Unknown
1993;Germany;Unknown;Unknown
1993;Greece;Unknown;Unknown
1993;Iceland;Unknown;Unknown
1993;Ireland;Unknown;Unknown
1993;Israel;Unknown;Unknown
1993;Italy;Unknown;Unknown
1993;Luxembourg;Unknown;Unknown
1993;Malta;Unknown;Unknown
1993;Norway;Unknown;Unknown
1993;Portugal;Unknown;Unknown
1993;Slovenia;Unknown;Unknown
1993;Spain;Unknown;Unknown
1993;Sweden;Unknown;Unknown
1993;Switzerland;Unknown;Unknown
1993;The Netherlands;Unknown;Unknown
1993;Turkey;Unknown;Unknown
1993;United Kingdom;Unknown;Unknown
1994;Austria;Unknown;Unknown
1994;Bosnia and Herzegovina;Unknown;Unknown
1994;Croatia;Unknown;Unknown
1994;Cyprus;Unknown;Unknown
1994;Estonia;Unknown;Unknown
1994;Finland;Unknown;Unknown
1994;France;Unknown;Unknown
1994;Germany;Unknown;Unknown
1994;Greece;Unknown;Unknown
1994;Hungary;Unknown;Unknown
1994;Iceland;Unknown;Unknown
1994;Ireland;Unknown;Unknown
1994;Lithuania;Unknown;Unknown
1994;Malta;Unknown;Unknown
1994;Norway;Unknown;Unknown
1994;Poland;Unknown;Unknown
1994;Portugal;Unknown;Unknown
1994;Romania;Unknown;Unknown
1994;Russia;Unknown;Unknown
1994;Slovakia;Unknown;Unknown
1994;Spain;Unknown;Unknown
1994;Sweden;Unknown;Unknown
1994;Switzerland;Unknown;Unknown
1994;The Netherlands;Unknown;Unknown
1994;United Kingdom;Unknown;Unknown
1995;Austria;Unknown;Unknown
1995;Belgium;Unknown;Unknown
1995;Bosnia and Herzegovina;Unknown;Unknown
1995;Croatia;Unknown;Unknown
1995;Cyprus;Unknown;Unknown
1995;Denmark;Unknown;Unknown
1995;France;Unknown;Unknown
1995;Germany;Unknown;Unknown
1995;Greece;Unknown;Unknown
1995;Hungary;Unknown;Unknown
1995;Iceland;Unknown;Unknown
1995;Ireland;Unknown;Unknown
1995;Israel;Unknown;Unknown
1995;Malta;Unknown;Unknown
1995;Norway;Unknown;Unknown
1995;Poland;Unknown;Unknown
1995;Portugal;Unknown;Unknown
1995;Russia;Unknown;Unknown
1995;Slovenia;Unknown;Unknown
1995;Spain;Unknown;Unknown
1995;Sweden;Unknown;Unknown
1995;Turkey;Unknown;Unknown
1995;United Kingdom;Unknown;Unknown
1996;Austria;Unknown;Unknown
1996;Belgium;Unknown;Unknown
1996;Bosnia and Herzegovina;Unknown;Unknown
1996;Croatia;Unknown;Unknown
1996;Cyprus;Unknown;Unknown
1996;Estonia;Unknown;Unknown
1996;Finland;Unknown;Unknown
1996;France;Unknown;Unknown
1996;Greece;Unknown;Unknown
1996;Iceland;Unknown;Unknown
1996;Ireland;Unknown;Unknown
1996;Malta;Unknown;Unknown
1996;Norway;Unknown;Unknown
1996;Poland;Unknown;Unknown
1996;Portugal;Unknown;Unknown
1996;Slovakia;Unknown;Unknown
1996;Slovenia;Unknown;Unknown
1996;Spain;Unknown;Unknown
1996;Sweden;Unknown;Unknown
1996;Switzerland;Unknown;Unknown
1996;The Netherlands;Unknown;Unknown
1996;Turkey;Unknown;Unknown
1996;United Kingdom;Unknown;Unknown
1997;Austria;Unknown;Unknown
1997;Bosnia and Herzegovina;Unknown;Unknown
1997;Croatia;Unknown;Unknown
1997;Cyprus;Unknown;Unknown
1997;Denmark;Unknown;Unknown
1997;Estonia;Unknown;Unknown
1997;France;Unknown;Unknown
1997;Germany;Unknown;Unknown
1997;Greece;Unknown;Unknown
1997;Hungary;Unknown;Unknown
1997;Iceland;Unknown;Unknown
1997;Ireland;Unknown;Unknown
1997;Italy;Unknown;Unknown
1997;Malta;Unknown;Unknown
1997;Norway;Unknown;Unknown
1997;Poland;Unknown;Unknown
1997;Portugal;Unknown;Unknown
1997;Russia;Unknown;Unknown
1997;Slovenia;Unknown;Unknown
1997;Spain;Unknown;Unknown
1997;Sweden;Unknown;Unknown
1997;Switzerland;Unknown;Unknown
1997;The Netherlands;Unknown;Unknown
1997;Turkey;Unknown;Unknown
1997;United Kingdom;Unknown;Unknown
1998;Belgium;Unknown;Unknown
1998;Croatia;Unknown;Unknown
1998;Cyprus;Unknown;Unknown
1998;Estonia;Unknown;Unknown
1998;Finland;Unknown;Unknown
1998;France;Unknown;Unknown
1998;Germany;Unknown;Unknown
1998;Greece;Unknown;Unknown
1998;Hungary;Unknown;Unknown
1998;Ireland;Unknown;Unknown
1998;Israel;Unknown;Unknown
1998;Macedonia;Unknown;Unknown
1998;Malta;Unknown;Unknown
1998;Norway;Unknown;Unknown
1998;Poland;Unknown;Unknown
1998;Portugal;Unknown;Unknown
1998;Romania;Unknown;Unknown
1998;Slovakia;Unknown;Unknown
1998;Slovenia;Unknown;Unknown
1998;Spain;Unknown;Unknown
1998;Sweden;Unknown;Unknown
1998;Switzerland;Unknown;Unknown
1998;The Netherlands;Unknown;Unknown
1998;Turkey;Unknown;Unknown
1998;United Kingdom;Unknown;Unknown
1999;Austria;Unknown;Unknown
1999;Belgium;Unknown;Unknown
1999;Bosnia and Herzegovina;Unknown;Unknown
1999;Croatia;Unknown;Unknown
1999;Cyprus;Unknown;Unknown
1999;Denmark;Unknown;Unknown
1999;Estonia;Unknown;Unknown
1999;France;Unknown;Unknown
1999;Germany;Unknown;Unknown
1999;Iceland;Unknown;Unknown
1999;Ireland;Unknown;Unknown
1999;Israel;Unknown;Unknown
1999;Lithuania;Unknown;Unknown
1999;Malta;Unknown;Unknown
1999;Norway;Unknown;Unknown
1999;Poland;Unknown;Unknown
1999;Portugal;Unknown;Unknown
1999;Slovenia;Unknown;Unknown
1999;Spain;Unknown;Unknown
1999;Sweden;Unknown;Unknown
1999;The Netherlands;Unknown;Unknown
1999;Turkey;Unknown;Unknown
1999;United Kingdom;Unknown;Unknown
2000;Austria;Unknown;Unknown
2000;Belgium;Unknown;Unknown
2000;Croatia;Unknown;Unknown
2000;Cyprus;Unknown;Unknown
2000;Denmark;Unknown;Unknown
2000;Estonia;Unknown;Unknown
2000;Finland;Unknown;Unknown
2000;France;Unknown;Unknown
2000;Germany;Unknown;Unknown
2000;Iceland;Unknown;Unknown
2000;Ireland;Unknown;Unknown
2000;Israel;Unknown;Unknown
2000;Latvia;Unknown;Unknown
2000;Macedonia;Unknown;Unknown
2000;Malta;Unknown;Unknown
2000;Norway;Unknown;Unknown
2000;Romania;Unknown;Unknown
2000;Russia;Unknown;Unknown
2000;Spain;Unknown;Unknown
2000;Sweden;Unknown;Unknown
2000;Switzerland;Unknown;Unknown
2000;The Netherlands;Unknown;Unknown
2000;Turkey;Unknown;Unknown
2000;United Kingdom;Unknown;Unknown
2001;Bosnia and Herzegovina;Unknown;Unknown
2001;Croatia;Unknown;Unknown
2001;Denmark;Unknown;Unknown
2001;Estonia;Unknown;Unknown
2001;France;Unknown;Unknown
2001;Germany;Unknown;Unknown
2001;Greece;Unknown;Unknown
2001;Iceland;Unknown;Unknown
2001;Ireland;Unknown;Unknown
2001;Israel;Unknown;Unknown
2001;Latvia;Unknown;Unknown
2001;Lithuania;Unknown;Unknown
2001;Malta;Unknown;Unknown
2001;Norway;Unknown;Unknown
2001;Poland;Unknown;Unknown
2001;Portugal;Unknown;Unknown
2001;Russia;Unknown;Unknown
2001;Slovenia;Unknown;Unknown
2001;Spain;Unknown;Unknown
2001;Sweden;Unknown;Unknown
2001;The Netherlands;Unknown;Unknown
2001;Turkey;Unknown;Unknown
2001;United Kingdom;Unknown;Unknown
2002;Austria;Unknown;Unknown
2002;Belgium;Unknown;Unknown
2002;Bosnia and Herzegovina;Unknown;Unknown
2002;Croatia;Unknown;Unknown
2002;Cyprus;Unknown;Unknown
2002;Denmark;Unknown;Unknown
2002;Estonia;Unknown;Unknown
2002;Finland;Unknown;Unknown
2002;France;Unknown;Unknown
2002;Germany;Unknown;Unknown
2002;Greece;Unknown;Unknown
2002;Israel;Unknown;Unknown
2002;Latvia;Unknown;Unknown
2002;Lithuania;Unknown;Unknown
2002;Macedonia;Unknown;Unknown
2002;Malta;Unknown;Unknown
2002;Romania;Unknown;Unknown
2002;Russia;Unknown;Unknown
2002;Slovenia;Unknown;Unknown
2002;Spain;Unknown;Unknown
2002;Sweden;Unknown;Unknown
2002;Switzerland;Unknown;Unknown
2002;Turkey;Unknown;Unknown
2002;United Kingdom;Unknown;Unknown
2003;Austria;Unknown;Unknown
2003;Belgium;Unknown;Unknown
2003;Bosnia and Herzegovina;Unknown;Unknown
2003;Croatia;Unknown;Unknown
2003;Cyprus;Unknown;Unknown
2003;Estonia;Unknown;Unknown
2003;France;Unknown;Unknown
2003;Germany;Unknown;Unknown
2003;Greece;Unknown;Unknown
2003;Iceland;Unknown;Unknown
2003;Ireland;Unknown;Unknown
2003;Israel;Unknown;Unknown
2003;Latvia;Unknown;Unknown
2003;Malta;Unknown;Unknown
2003;Norway;Unknown;Unknown
2003;Poland;Unknown;Unknown
2003;Portugal;Unknown;Unknown
2003;Romania;Unknown;Unknown
2003;Russia;Unknown;Unknown
2003;Slovenia;Unknown;Unknown
2003;Spain;Unknown;Unknown
2003;Sweden;Unknown;Unknown
2003;The Netherlands;Unknown;Unknown
2003;Turkey;Unknown;Unknown
2003;Ukraine;Unknown;Unknown
2003;United Kingdom;Unknown;Unknown
2004;Albania;Unknown;Unknown
2004;Andorra;Unknown;Unknown
2004;Austria;Unknown;Unknown
2004;Belarus;Unknown;Unknown
2004;Belgium;Unknown;Unknown
2004;Bosnia and Herzegovina;Unknown;Unknown
2004;Croatia;Unknown;Unknown
2004;Cyprus;Unknown;Unknown
2004;Denmark;Unknown;Unknown
2004;Estonia;Unknown;Unknown
2004;Finland;Unknown;Unknown
2004;France;Unknown;Unknown
2004;Germany;Unknown;Unknown
2004;Greece;Unknown;Unknown
2004;Iceland;Unknown;Unknown
2004;Ireland;Unknown;Unknown
2004;Israel;Unknown;Unknown
2004;Latvia;Unknown;Unknown
2004;Lithuania;Unknown;Unknown
2004;Macedonia;Unknown;Unknown
2004;Malta;Unknown;Unknown
2004;Monaco;Unknown;Unknown
2004;Norway;Unknown;Unknown
2004;Poland;Unknown;Unknown
2004;Portugal;Unknown;Unknown
2004;Romania;Unknown;Unknown
2004;Russia;Unknown;Unknown
2004;Serbia and Montenegro;Unknown;Unknown
2004;Slovenia;Unknown;Unknown
2004;Spain;Unknown;Unknown
2004;Sweden;Unknown;Unknown
2004;Switzerland;Unknown;Unknown
2004;The Netherlands;Unknown;Unknown
2004;Turkey;Unknown;Unknown
2004;Ukraine;Unknown;Unknown
2004;United Kingdom;Unknown;Unknown
2005;Albania;Unknown;Unknown
2005;Andorra;Unknown;Unknown
2005;Austria;Unknown;Unknown
2005;Belarus;Unknown;Unknown
2005;Belgium;Unknown;Unknown
2005;Bosnia and Herzegovina;Unknown;Unknown
2005;Bulgaria;Unknown;Unknown
2005;Croatia;Unknown;Unknown
2005;Cyprus;Unknown;Unknown
2005;Denmark;Unknown;Unknown
2005;Estonia;Unknown;Unknown
2005;Finland;Unknown;Unknown
2005;France;Unknown;Unknown
2005;Germany;Unknown;Unknown
2005;Greece;Unknown;Unknown
2005;Hungary;Unknown;Unknown
2005;Iceland;Unknown;Unknown
2005;Ireland;Unknown;Unknown
2005;Israel;Unknown;Unknown
2005;Latvia;Unknown;Unknown
2005;Lithuania;Unknown;Unknown
2005;Macedonia;Unknown;Unknown
2005;Malta;Unknown;Unknown
2005;Moldova;Unknown;Unknown
2005;Monaco;Unknown;Unknown
2005;Norway;Unknown;Unknown
2005;Poland;Unknown;Unknown
2005;Portugal;Unknown;Unknown
2005;Romania;Unknown;Unknown
2005;Russia;Unknown;Unknown
2005;Serbia and Montenegro;Unknown;Unknown
2005;Slovenia;Unknown;Unknown
2005;Spain;Unknown;Unknown
2005;Sweden;Unknown;Unknown
2005;Switzerland;Unknown;Unknown
2005;The Netherlands;Unknown;Unknown
2005;Turkey;Unknown;Unknown
2005;Ukraine;Unknown;Unknown
2005;United Kingdom;Unknown;Unknown
2006;Albania;Unknown;Unknown
2006;Andorra;Unknown;Unknown
2006;Armenia;Unknown;Unknown
2006;Belarus;Unknown;Unknown
2006;Belgium;Unknown;Unknown
2006;Bosnia and Herzegovina;Unknown;Unknown
2006;Bulgaria;Unknown;Unknown
2006;Croatia;Unknown;Unknown
2006;Cyprus;Unknown;Unknown
2006;Denmark;Unknown;Unknown
2006;Estonia;Unknown;Unknown
2006;Finland;Unknown;Unknown
2006;France;Unknown;Unknown
2006;Germany;Unknown;Unknown
2006;Greece;Unknown;Unknown
2006;Iceland;Unknown;Unknown
2006;Ireland;Unknown;Unknown
2006;Israel;Unknown;Unknown
2006;Latvia;Unknown;Unknown
2006;Lithuania;Unknown;Unknown
2006;Macedonia;Unknown;Unknown
2006;Malta;Unknown;Unknown
2006;Moldova;Unknown;Unknown
2006;Monaco;Unknown;Unknown
2006;Norway;Unknown;Unknown
2006;Poland;Unknown;Unknown
2006;Portugal;Unknown;Unknown
2006;Romania;Unknown;Unknown
2006;Russia;Unknown;Unknown
2006;Serbia and Montenegro;Unknown;Unknown
2006;Slovenia;Unknown;Unknown
2006;Spain;Unknown;Unknown
2006;Sweden;Unknown;Unknown
2006;Switzerland;Unknown;Unknown
2006;The Netherlands;Unknown;Unknown
2006;Turkey;Unknown;Unknown
2006;Ukraine;Unknown;Unknown
2006;United Kingdom;Unknown;Unknown
2007;Albania;Unknown;Unknown
2007;Andorra;Unknown;Unknown
2007;Armenia;Unknown;Unknown
2007;Austria;Unknown;Unknown
2007;Belarus;Unknown;Unknown
2007;Belgium;Unknown;Unknown
2007;Bosnia and Herzegovina;Unknown;Unknown
2007;Bulgaria;Unknown;Unknown
2007;Croatia;Unknown;Unknown
2007;Cyprus;Unknown;Unknown
2007;Czech Republic;Unknown;Unknown
2007;Denmark;Unknown;Unknown
2007;Estonia;Unknown;Unknown
2007;Finland;Unknown;Unknown
2007;France;Unknown;Unknown
2007;Georgia;Unknown;Unknown
2007;Germany;Unknown;Unknown
2007;Greece;Unknown;Unknown
2007;Hungary;Unknown;Unknown
2007;Iceland;Unknown;Unknown
2007;Ireland;Unknown;Unknown
2007;Israel;Unknown;Unknown
2007;Latvia;Unknown;Unknown
2007;Lithuania;Unknown;Unknown
2007;Macedonia;Unknown;Unknown
2007;Malta;Unknown;Unknown
2007;Moldova;Unknown;Unknown
2007;Montenegro;Unknown;Unknown
2007;Norway;Unknown;Unknown
2007;Poland;Unknown;Unknown
2007;Portugal;Unknown;Unknown
2007;Romania;Unknown;Unknown
