country;Year;GDP.growth..annual...;GDP..current.US..
Morocco;1998;7,23855268965383;41806219378,6181
Netherlands;1998;4,66391716015247;438008220395,468
Norway;1998;2,62442622196583;154163364302,66
Poland;1998;4,64063436855272;174685791563,561
Portugal;1998;4,80796297573329;123946327916,296
Romania;1998;-2,02981290571721;41694118972,5101
Russia;1998;-5,29996162531226;270955486862,442
San Marino;1998;7,4656188605108;NA
Serbia;1998;3,3408773579261;19457979423,376
Serbia and Montenegro;1998;4,12044203561423;NA
Slovakia;1998;4,07609633371622;29856000671,216
Slovenia;1998;3,27936544351304;22146231967,6861
Spain;1998;4,39303735124493;619214834614,099
Sweden;1998;4,31183635326269;270809066780,714
Switzerland;1998;2,98989180179569;295045151745,068
Turkey;1998;2,40415026014556;275967393984,833
Ukraine;1998;-1,89999998314991;41883241471,7365
United Kingdom;1998;3,64485339579952;1650172242464,39
Yugoslavia;1998;5,88220182461226;NA
Albania;1999;12,8898967331889;3212119044,17089
Andorra;1999;4,09908083663429;1239876305,13531
Armenia;1999;3,30000000058166;1845482181,44801
Australia;1999;5,07359909510564;388608221581,652
Austria;1999;3,55633124664169;217185787342,851
Azerbaijan;1999;7,39999958682314;4581246713,32066
Belarus;1999;3,39999916322964;12138486532,0203
Belgium;1999;3,54274346363066;258158533986,789
Bosnia and Herzegovina;1999;9,59999969554963;4685733115,46841
Bulgaria;1999;-8,28101741381641;13627323284,5405
Croatia;1999;-0,948053454816005;23457038980,352
Cyprus;1999;4,99796042248005;10497908306,3646
Czech Republic;1999;1,38414894342924;65173130995,2212
Denmark;1999;2,94802216063901;177965188354,692
Estonia;1999;-0,403432950234276;5762048551,95911
Finland;1999;4,37957572274557;135218410398,466
France;1999;3,42137379882455;1492647560196,04
Georgia;1999;2,86925704427721;2800026339,12617
Germany;1999;1,88726115399444;2194204133816,32
Greece;1999;3,0725963299848;142540728744,939
Hungary;1999;3,0710298892064;49073380173,7159
Iceland;1999;4,04305007445554;8971608730,45387
Ireland;1999;10,5035602957758;98692079693,16
Israel;1999;3,11459706919175;117111535135,396
Italy;1999;1,6257275993546;1252023758789,69
Latvia;1999;2,74104438910037;7525408359,35623
Lithuania;1999;-1,14157115625557;10971583944,7561
Luxembourg;1999;8,48099983754646;22235929043,2559
Macedonia;1999;4,33902791307588;3863743409,49033
Malta;1999;4,71997488242211;4121350758,88841
Moldova;1999;-3,36825452918943;1170782957,37443
Monaco;1999;3,30054283439939;2906009307,6651
Montenegro;1999;-9,40000140664895;NA
Morocco;1999;1,08133256173805;41632027599,8531
Netherlands;1999;5,03404815181835;446898572341,786
Norway;1999;2,01286328876013;162284465073,341
Poland;1999;4,65482665906518;170031005016,259
Portugal;1999;3,90657744002579;127427343916,471
Romania;1999;-0,376660705758994;35952781582,2083
Russia;1999;6,39991468973531;195907128350,934
San Marino;1999;9,04936014625228;1109098657,57511
Serbia;1999;-9,4241616060844;19388663551,0012
Serbia and Montenegro;1999;-9,41208150636668;NA
Slovakia;1999;-0,105914263197832;30453383763,0514
Slovenia;1999;5,3326665718437;22711384311,1404
Spain;1999;4,49049131553554;634693160025,57
Sweden;1999;4,24718414367548;274072182416,731
Switzerland;1999;1,69471982455498;289912492344,561
Turkey;1999;-3,26316841366706;256385525189,99
Ukraine;1999;-0,199999995369666;31580639045,454
United Kingdom;1999;3,42822332767811;1682399288141,08
Yugoslavia;1999;-0,967910040031205;NA
Albania;2000;6,95003613422918;3480355188,60063
Andorra;2000;3,52836129711103;1429049198,45218
Armenia;2000;5,90000000312092;1911563665,39006
Australia;2000;3,93313694470206;415222633925,768
Austria;2000;3,37572214708479;196799778883,361
Azerbaijan;2000;11,0999995034959;5272617196,04517
Belarus;2000;5,80000344007455;12736856827,9847
Belgium;2000;3,71667938420875;236204532891,1
Bosnia and Herzegovina;2000;5,50000050587651;5505887894,48893
Bulgaria;2000;4,78204352345534;13245833843,5454
Croatia;2000;2,86174684295204;21633671680,8738
Cyprus;2000;5,96531031488554;9985844486,33365
Czech Republic;2000;4,00102863502944;61828166496,0941
Denmark;2000;3,74686259540198;164158739097,623
Estonia;2000;10,1065182988335;5694069842,43988
Finland;2000;5,7733624584817;125706651925,557
France;2000;3,92366922704063;1362248940482,77
Georgia;2000;1,83834106614221;3057475288,78105
Germany;2000;2,91250296366708;1943145384190,16
Greece;2000;3,91977070727938;130133845586,88
Hungary;2000;4,47919119279798;47218405892,4258
Iceland;2000;4,89159327722459;9003639602,62542
Ireland;2000;9,44575065685909;99852958356,3663
Israel;2000;7,45518218558496;132343042699,826
Italy;2000;3,78695514323979;1143829832319,88
Latvia;2000;5,67197491547509;7949253765,93279
Lithuania;2000;3,69552542107776;11524776866,6379
Luxembourg;2000;8,23980205975829;21263514833,2412
Macedonia;2000;4,54913578288874;3772851420,24763
Malta;2000;6,77019391099778;4069515556,78692
Moldova;2000;2,10771604754427;1288429391,79951
Monaco;2000;3,91022922578345;2647883815,57966
Montenegro;2000;3,10000018370371;984297589,359934
Morocco;2000;1,91287298063767;38857251336,3448
Netherlands;2000;4,1956424978691;416442786069,652
Norway;2000;3,20497922225218;171247131268,604
Poland;2000;4,56102546838335;172219461126,067
Portugal;2000;3,81617806346979;118310710337,203
Romania;2000;2,4612634592269;37253259016,9976
Russia;2000;10,000066815788;259710142196,943
San Marino;2000;2,17937971500419;1005159388,24397
Serbia;2000;6,13181308953254;6875845986,52121
Serbia and Montenegro;2000;4,61590663661813;NA
Slovakia;2000;1,16652824699739;29169953012,7142
Slovenia;2000;3,67237154968245;20289627636,6767
Spain;2000;5,24599468041613;596877648793,072
Sweden;2000;4,7663488714872;262835454366,855
Switzerland;2000;3,93682353675122;272055499763,145
Turkey;2000;6,93323970849313;274302959127,239
Ukraine;2000;5,89999999908315;31261527363,144
United Kingdom;2000;3,43747162873862;1657816613708,58
Yugoslavia;2000;4,25318643434945;NA
Albania;2001;8,29007002725658;3922099470,97313
Andorra;2001;8,11935772169949;1546926174,49664
Armenia;2001;9,59999999927597;2118467913,37873
Australia;2001;1,93085759225417;378376086723,194
Austria;2001;1,26716818922992;197337879194,631
Azerbaijan;2001;9,90000013022203;5707720390,8515
Belarus;2001;4,72530599387508;12354820143,8849
Belgium;2001;1,09961888777849;236541297539,15
Bosnia and Herzegovina;2001;4,39999928046085;5748993411,42021
Bulgaria;2001;3,81723975210657;14183497963,1071
Croatia;2001;2,95771008343127;23054778851,2787
Cyprus;2001;3,95256054086292;10397897085,6102
Czech Republic;2001;3,04297656257042;67808032979,5429
Denmark;2001;0,823152998014436;164791442543,375
Estonia;2001;5,97959830855058;6259257899,91943
Finland;2001;2,61001912392074;129421029082,774
France;2001;1,98372141863292;1376465324384,79
Georgia;2001;4,80545327255501;3219488663,77231
Germany;2001;1,68146848097079;1944107382550,34
Greece;2001;4,13161241961417;136191353914,989
Hungary;2001;4,07409262355981;53749989092,0197
Iceland;2001;3,89881071371008;8205357404,59802
Ireland;2001;5,27843104724919;109135253691,275
Israel;2001;0,118821351895676;130756336638,372
Italy;2001;1,95137155605238;1167012796420,58
Latvia;2001;6,32281134955647;8351415939,10902
Lithuania;2001;6,52610890248806;12237388001,7264
Luxembourg;2001;2,53197481173196;21272418791,9463
Macedonia;2001;-3,06725662451662;3709637829,94866
Malta;2001;-1,17469665032539;4088368961,75836
Moldova;2001;6,10000041286263;1480673594,05602
Monaco;2001;2,18773253580883;2718868306,01093
Montenegro;2001;1,09984271867472;1159869245,92513
Morocco;2001;7,31996745420717;39459581217,3759
Netherlands;2001;2,32695508699258;431213422818,792
Norway;2001;2,07479039388386;173972218824,027
Poland;2001;1,25847269363186;190905493539,168
Portugal;2001;1,94367229584959;121498889485,459
Romania;2001;5,21813625673708;40394824679,1232
Russia;2001;5,10005122527505;306602070620,5
San Marino;2001;5,57834290401968;1077413479,05282
Serbia;2001;6,87877476506638;12960538723,7591
Serbia and Montenegro;2001;3,98930874187055;NA
Slovakia;2001;3,2537827286625;30752150335,5705
Slovenia;2001;3,21656033452891;20876309970,385
Spain;2001;3,93294884333099;627286800894,855
Sweden;2001;1,44949861796981;242395852494,409
Switzerland;2001;1,31242362626911;278631271628,348
Turkey;2001;-5,75000655700364;201753343273,96
Ukraine;2001;9,20369481559182;37972301334,6736
United Kingdom;2001;2,97436365273566;1640246149417,01
Yugoslavia;2001;3,71057743643243;NA
Albania;2002;4,53996064044722;4348070165,19261
Andorra;2002;4,54636221364653;1755910031,99699
Armenia;2002;13,1999999979356;2376335048,39976
